"IssueType","Severity","CaseId","ActivityName","Timestamp","Details","RecordCount","Recommendation"
"AuditHistoryUnavailable","High","ALL","","","No incident audit rows exist for the scoped Cases. Explicit event history is available for 12 enriched Cases; other historical transitions cannot be reconstructed.","58","Enable auditing for incident and process-critical columns before future demonstrations."
"EventPredatesCaseCreation","High","EIR-2025-0033","Evidence Received","2025-06-20T00:00:00.000Z","Business event timestamp predates the Dataverse Case creation timestamp, consistent with late-loaded demo history.","1","Preserve as business history but document synthetic loading; use overriddencreatedon or a dedicated occurrence timestamp for future seeds."
"EventPredatesCaseCreation","High","EIR-2025-0033","Evidence Received","2025-06-22T00:00:00.000Z","Business event timestamp predates the Dataverse Case creation timestamp, consistent with late-loaded demo history.","1","Preserve as business history but document synthetic loading; use overriddencreatedon or a dedicated occurrence timestamp for future seeds."
"EventPredatesCaseCreation","High","EIR-2025-0041","Evidence Received","2025-07-10T00:00:00.000Z","Business event timestamp predates the Dataverse Case creation timestamp, consistent with late-loaded demo history.","1","Preserve as business history but document synthetic loading; use overriddencreatedon or a dedicated occurrence timestamp for future seeds."
"EventPredatesCaseCreation","High","EIR-2025-0041","Evidence Received","2025-07-12T00:00:00.000Z","Business event timestamp predates the Dataverse Case creation timestamp, consistent with late-loaded demo history.","1","Preserve as business history but document synthetic loading; use overriddencreatedon or a dedicated occurrence timestamp for future seeds."
"EventPredatesCaseCreation","High","EIR-2025-0041","Evidence Received","2025-07-15T00:00:00.000Z","Business event timestamp predates the Dataverse Case creation timestamp, consistent with late-loaded demo history.","1","Preserve as business history but document synthetic loading; use overriddencreatedon or a dedicated occurrence timestamp for future seeds."
"EventPredatesCaseCreation","High","EIR-2025-0052","Evidence Received","2025-06-10T00:00:00.000Z","Business event timestamp predates the Dataverse Case creation timestamp, consistent with late-loaded demo history.","1","Preserve as business history but document synthetic loading; use overriddencreatedon or a dedicated occurrence timestamp for future seeds."
"EventPredatesCaseCreation","High","EIR-2025-0052","Evidence Received","2025-06-10T00:00:00.000Z","Business event timestamp predates the Dataverse Case creation timestamp, consistent with late-loaded demo history.","1","Preserve as business history but document synthetic loading; use overriddencreatedon or a dedicated occurrence timestamp for future seeds."
"EventPredatesCaseCreation","High","EIR-2025-0052","Evidence Received","2025-06-13T00:00:00.000Z","Business event timestamp predates the Dataverse Case creation timestamp, consistent with late-loaded demo history.","1","Preserve as business history but document synthetic loading; use overriddencreatedon or a dedicated occurrence timestamp for future seeds."
"EventPredatesCaseCreation","High","EIR-2025-0067","Evidence Received","2025-07-10T00:00:00.000Z","Business event timestamp predates the Dataverse Case creation timestamp, consistent with late-loaded demo history.","1","Preserve as business history but document synthetic loading; use overriddencreatedon or a dedicated occurrence timestamp for future seeds."
"EventPredatesCaseCreation","High","EIR-2026-BULK-026","Evidence Received","2026-07-27T00:00:00.000Z","Business event timestamp predates the Dataverse Case creation timestamp, consistent with late-loaded demo history.","1","Preserve as business history but document synthetic loading; use overriddencreatedon or a dedicated occurrence timestamp for future seeds."
"EventPredatesCaseCreation","High","EIR-2026-BULK-027","Evidence Received","2026-07-28T00:00:00.000Z","Business event timestamp predates the Dataverse Case creation timestamp, consistent with late-loaded demo history.","1","Preserve as business history but document synthetic loading; use overriddencreatedon or a dedicated occurrence timestamp for future seeds."
"EventPredatesCaseCreation","High","EIR-2026-BULK-028","Evidence Received","2026-07-29T00:00:00.000Z","Business event timestamp predates the Dataverse Case creation timestamp, consistent with late-loaded demo history.","1","Preserve as business history but document synthetic loading; use overriddencreatedon or a dedicated occurrence timestamp for future seeds."
"EventPredatesCaseCreation","High","EIR-2026-BULK-029","Evidence Received","2026-07-30T00:00:00.000Z","Business event timestamp predates the Dataverse Case creation timestamp, consistent with late-loaded demo history.","1","Preserve as business history but document synthetic loading; use overriddencreatedon or a dedicated occurrence timestamp for future seeds."
"EventPredatesCaseCreation","High","EIR-2026-BULK-030","Evidence Received","2026-07-31T00:00:00.000Z","Business event timestamp predates the Dataverse Case creation timestamp, consistent with late-loaded demo history.","1","Preserve as business history but document synthetic loading; use overriddencreatedon or a dedicated occurrence timestamp for future seeds."
"EventPredatesCaseCreation","High","EIR-2026-BULK-031","Evidence Received","2026-08-01T00:00:00.000Z","Business event timestamp predates the Dataverse Case creation timestamp, consistent with late-loaded demo history.","1","Preserve as business history but document synthetic loading; use overriddencreatedon or a dedicated occurrence timestamp for future seeds."
"EventPredatesCaseCreation","High","EIR-2026-BULK-032","Evidence Received","2026-08-02T00:00:00.000Z","Business event timestamp predates the Dataverse Case creation timestamp, consistent with late-loaded demo history.","1","Preserve as business history but document synthetic loading; use overriddencreatedon or a dedicated occurrence timestamp for future seeds."
"EventPredatesCaseCreation","High","EIR-2026-BULK-033","Evidence Received","2026-08-03T00:00:00.000Z","Business event timestamp predates the Dataverse Case creation timestamp, consistent with late-loaded demo history.","1","Preserve as business history but document synthetic loading; use overriddencreatedon or a dedicated occurrence timestamp for future seeds."
"EventPredatesCaseCreation","High","EIR-2026-BULK-034","Evidence Received","2026-08-04T00:00:00.000Z","Business event timestamp predates the Dataverse Case creation timestamp, consistent with late-loaded demo history.","1","Preserve as business history but document synthetic loading; use overriddencreatedon or a dedicated occurrence timestamp for future seeds."
"EventPredatesCaseCreation","High","EIR-2026-BULK-035","Evidence Received","2026-08-05T00:00:00.000Z","Business event timestamp predates the Dataverse Case creation timestamp, consistent with late-loaded demo history.","1","Preserve as business history but document synthetic loading; use overriddencreatedon or a dedicated occurrence timestamp for future seeds."
"EventPredatesCaseCreation","High","EIR-2026-BULK-036","Evidence Received","2026-08-06T00:00:00.000Z","Business event timestamp predates the Dataverse Case creation timestamp, consistent with late-loaded demo history.","1","Preserve as business history but document synthetic loading; use overriddencreatedon or a dedicated occurrence timestamp for future seeds."
"EventPredatesCaseCreation","High","EIR-2026-BULK-037","Evidence Received","2026-08-07T00:00:00.000Z","Business event timestamp predates the Dataverse Case creation timestamp, consistent with late-loaded demo history.","1","Preserve as business history but document synthetic loading; use overriddencreatedon or a dedicated occurrence timestamp for future seeds."
"EventPredatesCaseCreation","High","EIR-2026-BULK-038","Evidence Received","2026-08-08T00:00:00.000Z","Business event timestamp predates the Dataverse Case creation timestamp, consistent with late-loaded demo history.","1","Preserve as business history but document synthetic loading; use overriddencreatedon or a dedicated occurrence timestamp for future seeds."
"EventPredatesCaseCreation","High","EIR-2026-BULK-039","Evidence Received","2026-08-09T00:00:00.000Z","Business event timestamp predates the Dataverse Case creation timestamp, consistent with late-loaded demo history.","1","Preserve as business history but document synthetic loading; use overriddencreatedon or a dedicated occurrence timestamp for future seeds."
"EventPredatesCaseCreation","High","EIR-2026-BULK-040","Evidence Received","2026-08-10T00:00:00.000Z","Business event timestamp predates the Dataverse Case creation timestamp, consistent with late-loaded demo history.","1","Preserve as business history but document synthetic loading; use overriddencreatedon or a dedicated occurrence timestamp for future seeds."
"EventPredatesCaseCreation","High","EIR-PM-2026-CRITICAL","Earnings Signal Received","2026-04-27T17:00:00.000Z","Business event timestamp predates the Dataverse Case creation timestamp, consistent with late-loaded demo history.","1","Preserve as business history but document synthetic loading; use overriddencreatedon or a dedicated occurrence timestamp for future seeds."
"EventPredatesCaseCreation","High","EIR-PM-2026-HIGH","Earnings Signal Received","2026-04-20T17:00:00.000Z","Business event timestamp predates the Dataverse Case creation timestamp, consistent with late-loaded demo history.","1","Preserve as business history but document synthetic loading; use overriddencreatedon or a dedicated occurrence timestamp for future seeds."
