"ActivityName","Evidence","Timestamp","Availability","Inference"
"Earnings Signal Received","Automated discrepancy record with feed/match/import/system source","discrepancy.createdon","Available for automated-source discrepancies","No"
"Case Created","Scoped incident record created","incident.createdon","Available for all Cases","No"
"Risk Triage Started","Task actualstart in Intake and Risk category, or BPF Intake Triage active-stage start","task.actualstart or BPF.activestagestartedon","Sparse","No"
"Case Assigned","Initial incident owner at creation or queueitem entry","incident.createdon or queueitem.enteredon","Initial assignment available; reassignment sparse","No"
"Earnings Discrepancy Reviewed","No explicit review/completion record","","Unavailable","Would be forced; not generated"
"Evidence Requested","Evidence row created with Requested status","evidence.createdon","Available where status is Requested","No"
"Evidence Received","Evidence received-date, or received/current status fallback","earnint_receiveddate; fallback createdon","Available","Fallback only"
"Evidence Validated","Evidence current status is Verified","evidence.modifiedon","Available as current-state evidence","Yes without audit transition"
"Additional Evidence Requested","Second/subsequent explicit Requested evidence row or return transition","evidence.createdon or audit time","Not reliably derivable","Not generated"
"Earnings Analysis Completed","Completed analysis task or explicit completion event","task.actualend","Unavailable in current open tasks","Not generated"
"Analyst Finding Drafted","Investigation finding record created","finding.createdon","Available","No"
"Analyst Finding Submitted","Finding status transition to submitted or BPF handoff","audit/BPF transition","Unavailable","Not generated"
"Supervisor Review Started","Supervisor-review task actualstart or dated BPF stage entry","task.actualstart/BPF stage time","Unavailable in current data","Not generated"
"Case Returned to Analyst","Rejected supervisor transition or backward BPF movement","audit/event timestamp","Unavailable","Not generated"
"Finding Revised","Finding revision audit or new version linked to prior finding","audit/version timestamp","Unavailable","Not generated"
"Supervisor Approved","Current finding approval status is Approved","finding.modifiedon","Available as current-state evidence","Yes without audit transition"
"Case Escalated","Explicit fraud escalation queue/item/disposition transition","queue/audit timestamp","Not present as dated event","Not generated"
"Case Closed / Disposition Completed","Incident resolution record created/completed","incidentresolution.actualend or createdon","No scoped resolution records currently exist","No"
"Earnings Discrepancy Recorded","Related discrepancy record created","discrepancy.createdon","Available","No; additional vocabulary"
"Business Process Started","Earnings Fraud Case Review BPF instance created","BPF.createdon","Two instances","No; additional vocabulary"
"* Work Item Scheduled","Open task with scheduledstart/scheduledend","task scheduled interval","Available for generated tasks","No; explicitly scheduled, not completed"
"Beneficiary Clarification Scheduled/Completed","Case appointment scheduled or actual times","appointment scheduled/actual interval","Available where appointments exist","No; additional vocabulary"
"AI Analysis Result Recorded","AI summary field populated","incident.modifiedon","Available for enriched Cases","Yes; field-level update time unavailable"
