"CaseId","ActivityName","StartTimestamp","EndTimestamp","Resource","ResourceType","QueueOrTeam","RiskLevel","DiscrepancyAmount","EvidenceStatus","RecommendedDisposition","FinalDisposition"
"EIR-2025-0033","Evidence Received","2025-06-20T00:00:00.000Z","","Bradley Law","Human","✓ Closed / Monitoring Queue","⚠ Critical","11600","✓ Verified","",""
"EIR-2025-0033","Evidence Received","2025-06-22T00:00:00.000Z","","Bradley Law","Human","✓ Closed / Monitoring Queue","⚠ Critical","11600","◷ Under Review","",""
"EIR-2025-0033","Case Assigned","2026-07-29T20:40:52.000Z","","Bradley Law","Human","✓ Closed / Monitoring Queue","⚠ Critical","11600","✓ Complete","▲ Create Overpayment Review","◆ Late Reporting Confirmed"
"EIR-2025-0033","Case Created","2026-07-29T20:40:52.000Z","","Bradley Law","Human","✓ Closed / Monitoring Queue","⚠ Critical","11600","✓ Complete","▲ Create Overpayment Review","◆ Late Reporting Confirmed"
"EIR-2025-0033","Earnings Discrepancy Recorded","2026-07-29T20:51:17.000Z","","Bradley Law","Human","✓ Closed / Monitoring Queue","⚠ Critical","11600","","",""
"EIR-2025-0033","Analyst Finding Drafted","2026-07-29T20:52:11.000Z","","S. Kim","Human","✓ Closed / Monitoring Queue","⚠ Critical","11600","","▲ Create Overpayment Review",""
"EIR-2025-0033","Business Process Started","2026-08-06T19:28:46.000Z","","Bradley Law","Human","✓ Closed / Monitoring Queue","⚠ Critical","11600","","",""
"EIR-2025-0033","Disposition Stage Started","2026-08-06T22:36:36.000Z","","Bradley Law","Human","✓ Closed / Monitoring Queue","⚠ Critical","11600","","",""
"EIR-2025-0033","AI Analysis Result Recorded","2026-08-10T17:03:35.000Z","","Seeded Demo Analysis Workflow","Automated Workflow","✓ Closed / Monitoring Queue","⚠ Critical","11600","✓ Complete","▲ Create Overpayment Review","◆ Late Reporting Confirmed"
"EIR-2025-0033","Task Scheduled","2026-08-11T17:00:00.000Z","2026-08-13T01:00:00.000Z","Bradley Law","Human","✓ Closed / Monitoring Queue","⚠ Critical","11600","","",""
"EIR-2025-0033","Task Scheduled","2026-08-12T17:00:00.000Z","2026-08-14T01:00:00.000Z","Bradley Law","Human","✓ Closed / Monitoring Queue","⚠ Critical","11600","","",""
"EIR-2025-0033","Beneficiary Clarification Scheduled","2026-08-14T22:00:00.000Z","2026-08-14T22:30:00.000Z","Bradley Law","Human","✓ Closed / Monitoring Queue","⚠ Critical","11600","","",""
"EIR-2025-0041","Evidence Received","2025-07-10T00:00:00.000Z","","Bradley Law","Human","⚠ High-Risk Fraud Review Queue","▲ High","24800","✓ Verified","",""
"EIR-2025-0041","Evidence Received","2025-07-12T00:00:00.000Z","","Bradley Law","Human","⚠ High-Risk Fraud Review Queue","▲ High","24800","✓ Verified","",""
"EIR-2025-0041","Evidence Received","2025-07-15T00:00:00.000Z","","Bradley Law","Human","⚠ High-Risk Fraud Review Queue","▲ High","24800","◷ Under Review","",""
"EIR-2025-0041","Case Assigned","2026-07-29T20:39:14.000Z","","Bradley Law","Human","⚠ High-Risk Fraud Review Queue","▲ High","24800","✓ Complete","▲ Create Overpayment Review","▲ Overpayment Review Required"
"EIR-2025-0041","Case Created","2026-07-29T20:39:14.000Z","","Bradley Law","Human","⚠ High-Risk Fraud Review Queue","▲ High","24800","✓ Complete","▲ Create Overpayment Review","▲ Overpayment Review Required"
"EIR-2025-0041","Earnings Discrepancy Recorded","2026-07-29T20:50:55.000Z","","IRS Wage Feed W-2","Human","⚠ High-Risk Fraud Review Queue","▲ High","24800","","",""
"EIR-2025-0041","Earnings Signal Received","2026-07-29T20:50:55.000Z","","IRS Wage Feed W-2","Automated Workflow","⚠ High-Risk Fraud Review Queue","▲ High","24800","","",""
"EIR-2025-0041","Earnings Discrepancy Recorded","2026-07-29T20:51:00.000Z","","IRS Wage Feed W-2","Human","⚠ High-Risk Fraud Review Queue","▲ High","24800","","",""
"EIR-2025-0041","Earnings Signal Received","2026-07-29T20:51:00.000Z","","IRS Wage Feed W-2","Automated Workflow","⚠ High-Risk Fraud Review Queue","▲ High","24800","","",""
"EIR-2025-0041","Analyst Finding Drafted","2026-07-29T20:52:03.000Z","","J. Reyes","Human","⚠ High-Risk Fraud Review Queue","▲ High","24800","","▲ Create Overpayment Review",""
"EIR-2025-0041","AI Analysis Result Recorded","2026-08-10T16:51:04.000Z","","Seeded Demo Analysis Workflow","Automated Workflow","⚠ High-Risk Fraud Review Queue","▲ High","24800","✓ Complete","▲ Create Overpayment Review","▲ Overpayment Review Required"
"EIR-2025-0041","Business Process Started","2026-08-10T16:51:11.000Z","","Bradley Law","Human","⚠ High-Risk Fraud Review Queue","▲ High","24800","","",""
