"Field","Table","Column","Availability","Derivation","Gap"
"CaseId","incident","title (parsed EIR ID), ticketnumber, incidentid","Available","Parse EIR-* identifier from title; fallback to ticketnumber then incidentid","Business ID is embedded in title rather than a dedicated alternate-key column"
"ActivityName","Multiple","record type, state, category, BPF stage","Derived","Controlled event rules in this export","No canonical process-event table"
"StartTimestamp","Multiple","createdon, actualstart, scheduledstart, enteredon, activestagestartedon, earnint_receiveddate","Partially available","Use explicit occurrence timestamp, otherwise system creation/modification timestamp","Evidence received date is date-only; prior BPF stage timestamps absent"
"EndTimestamp","task, appointment, BPF","actualend, scheduledend, completedon","Partially available","Use actual end when present; scheduled end only for explicitly scheduled activities","Most records have no actual duration"
"Resource","All user-owned tables","createdby, modifiedby, ownerid, verifiedby, analystname, queue worker","Partially available","Prefer event actor, then owner or named analyst","Free-text analyst/verified-by values are not stable user keys"
"ResourceType","Derived","actor/source name and AI raw JSON","Derived","Human, Automated Workflow, or AI Agent based on source evidence","No explicit resource-type column"
"PreviousStatus","audit","AuditDetail old value","Unavailable","Would require RetrieveAuditDetails","No incident audit rows exist"
"NewStatus","incident, evidence, finding, task","statuscode/statecode/custom status","Current state only","Formatted current status","Transition timestamp and prior value unavailable without audit"
"QueueOrTeam","incident, queueitem","earnint_queueassignment, queueid, workerid, ownerid","Available/current","Queue item where present; otherwise current Case queue choice","Queue choice is not historical"
"RiskLevel","incident","earnint_riskrating","Available/current","Formatted choice label","Historical risk changes unavailable"
"DiscrepancyAmount","earnint_earningsdiscrepancy","earnint_discrepancyamount","Available","Sum related discrepancy rows by Case","Amount effective date not separately captured"
"EvidenceType","earnint_evidenceitem","earnint_evidencetype","Available","Formatted choice label","Not included in requested flat import schema"
"EvidenceStatus","earnint_evidenceitem, incident","earnint_status, earnint_evidencestatus","Available/current","Event-level evidence status where applicable; otherwise Case summary status","Status transition history unavailable"
"FindingType","earnint_investigationfinding","earnint_findingtype","Available","Formatted choice label","Not included in requested flat import schema"
"RecommendedDisposition","earnint_investigationfinding, incident","earnint_recddisposition, earnint_casedisposition","Available/current","Finding recommendation when available; otherwise Case recommendation","Submission timestamp not explicit"
"FinalDisposition","incident, incidentresolution","earnint_finaldetermination, resolution subject/status","Current state only for scoped Cases","Current final determination; explicit close event requires a scoped resolution","All 54 scoped Cases are active and no scoped resolution records exist"
"SupervisorDecision","earnint_investigationfinding, incident","earnint_supervisorapprovalstatus, earnint_supervisorapproval","Available/current","Current approval state","Decision transition timestamp and actor are not explicitly captured"
"ReassignmentIndicator","audit, queueitem","ownerid transition or repeated queue entries","Mostly unavailable","Would compare historical owner/queue changes","No audit rows; current owner alone cannot prove reassignment"
"ReworkIndicator","audit, BPF, findings/evidence","backward stage/status changes or return disposition","Mostly unavailable","Would detect return-to-analyst or additional-evidence loops","Prior stage timestamps and field transitions are absent"
"SourceSystem","earnint_earningsdiscrepancy and event source","earnint_sourcesystem","Partially available","Discrepancy source or Dataverse source table","Not populated consistently and not included in requested flat import schema"
